fire_id,state_no,discovery_month_no,Temp_pre_15,Wind_pre_15,Hum_pre_15,fire_size_bin_no,medium_plus
3,29,6,18.99618138,3.398329356,37.14081146,1,0
24,22,4,15.06722689,1.7379213480000002,56.74719101,3,0
31,25,4,0.372659176,6.012851782,75.96398104,1,0
35,8,10,17.72271386,3.366442953,61.7337884,3,0
36,28,7,32.5234375,3.844921875,25.7890625,5,1
48,44,4,12.492723,3.882897862,49.52731591,4,1
54,45,7,23.7672043,2.737837838,37.38648649,1,0
56,32,12,5.933657587999999,3.311328125,80.17729084,3,0
57,38,10,11.63909465,1.750730689,70.18932039,4,1
59,41,4,8.231321839,3.3071839080000003,53.92330383,4,1
75,43,4,2.4625,7.3,79.75,1,0
78,5,7,28.16509695,2.664542936,42.9833795,4,1
86,8,3,10.70697674,2.365860465,71.45977011,3,0
87,4,7,18.58,3.68,58.0,1,0
94,3,10,18.10641975,1.660246914,66.16243655,1,0
95,8,1,8.484572491,1.7823420069999998,60.89057751,1,0
97,8,2,11.39900498,2.445273632,60.87531172,2,0
98,10,8,21.20505618,0.538764045,57.84269663,3,0
102,8,4,14.95166667,3.794722222,66.33798883,3,0
111,8,3,9.725373134,3.456465517,65.30751174,1,0
114,20,3,-4.907284768,4.442715232,68.84333333,1,0
119,6,9,7.032212885,4.633613445,37.54297994,1,0
124,32,8,34.19567568,4.2013513510000005,37.63513514,1,0
125,8,7,29.04465409,3.630128205,67.66013072,1,0
126,22,5,18.23555556,4.309444444,62.5,3,0
130,32,12,0.3441340779999999,2.018249534,80.88157895,4,1
131,4,5,26.35081967,4.290163934,17.05737705,1,0
142,4,7,26.79,4.841,21.71,1,0
146,25,4,-0.153203343,4.10027933,70.22126437,1,0
148,36,3,10.21448468,2.811420613,68.19847328,1,0
157,7,5,25.38432836,2.619662921,74.23092170000001,2,0
165,42,5,14.43589744,3.0521739130000003,49.91304348,3,0
170,2,4,17.43949045,3.234819533,70.84288747,1,0
175,30,4,9.298050139,2.304178273,49.27323944,1,0
187,28,7,24.79572193,3.532352941,33.35294118,1,0
192,5,6,13.26522327,1.4974289580000002,60.52248062,1,0
193,8,12,12.44159544,1.915194682,76.58732612,3,0
197,8,3,9.448476454,4.0457063710000005,55.69971671,1,0
199,45,3,1.062383178,3.0901869160000004,50.18501171,1,0
204,26,4,10.69877243,5.712747875,52.39376771,1,0
206,8,6,24.28544153,2.167064439,76.92328042,1,0
217,36,11,15.49544073,1.732016211,64.49133858,1,0
220,8,12,11.6038961,1.474489796,72.87644342,1,0
221,34,4,7.632047478,5.031750742,60.76595745,1,0
222,22,11,8.625231911,2.612801484,66.46703911,2,0
227,21,3,7.051948052,3.796750232,54.50473485,3,0
230,7,6,26.84,2.045196507,73.86681223,1,0
232,7,7,25.90976331,1.96735905,80.0044843,4,1
237,28,3,13.30769231,6.128205127999999,23.03846154,3,0
251,22,2,13.40283976,3.50811359,72.42241379,3,0
261,24,5,15.95551257,1.503288201,69.49512671,2,0
266,37,5,6.94375,5.775,63.8175,1,0
276,22,2,10.01708683,2.203361345,57.41456583,1,0
280,8,2,-10.89263804,4.533128833999999,77.70129870000001,1,0
284,22,10,19.04748603,2.819830028,70.38810198,3,0
286,4,6,18.67226891,4.902987862,35.72523364,2,0
290,40,8,24.46341463,2.263414634,49.12195122,1,0
297,44,4,9.959183673,3.337142857,44.45918367,1,0
313,25,5,6.695475113,5.626244344,51.63122172,1,0
315,32,2,7.628813559,3.85631068,62.93446602,4,1
318,44,5,15.70593407,4.000441501,56.73951435,2,0
323,25,10,11.27167969,5.72578125,68.9739479,1,0
324,8,2,7.071428571,3.327692308,71.17431193,1,0
328,2,4,17.13504823,3.429677419,65.70479705,1,0
338,28,7,21.125,3.35,52.5,1,0
343,22,3,6.375792507000001,3.387572254,65.15362319,1,0
344,28,11,9.229551451,3.199736148,46.97889182,1,0
347,8,3,19.25123153,1.365517241,69.795,1,0
357,24,4,14.11724806,1.65125969,59.12717391,1,0
360,19,4,1.351149425,3.808333333,72.24637681,1,0
361,8,8,27.55888325,2.405423729,74.83804143,1,0
368,45,4,8.397396963,4.690611354,40.22489083,1,0
374,4,5,20.76040268,2.427133269,23.45733461,1,0
377,44,4,8.528944381,1.59568672,60.6009122,1,0
382,24,4,17.641527,1.713873371,57.92401216,1,0
384,14,12,2.762664165,3.582082552,68.01929825,1,0
385,26,3,4.234074074,4.196574074,71.08534323,4,1
389,8,4,10.46093458,2.519318182,68.27234927,2,0
396,25,4,8.467099166,5.076508821,53.82265552,1,0
399,43,5,15.28444444,4.148611111,62.82535211,2,0
401,29,7,30.85135135,3.969863014,21.42465753,3,0
407,32,6,27.10721248,2.196831683,74.18459916,3,0
421,32,11,6.724170616,2.319241706,57.58605664,1,0
424,39,7,28.80277778,4.579907407,35.8962963,4,1
439,14,4,4.384044527,2.169953488,68.45183044,3,0
440,30,4,4.085761047,3.982487725,66.83584590000001,1,0
441,5,10,14.81461538,1.545384615,51.26756757,1,0
445,24,3,12.60490694,2.515736041,55.70491803,1,0
448,8,2,11.46931818,3.428977273,64.12280702,1,0
464,25,4,-2.86972821,6.056619717999999,65.80432738,1,0
470,5,6,13.66272494,3.140359897,63.03608247,1,0
479,8,9,26.16666667,2.541919192,70.11794872,1,0
482,4,5,18.68709677,3.703225806,37.74193548,1,0
484,22,10,20.9630854,2.64600551,77.41046832,1,0
486,36,7,28.08231707,2.323272358,54.82418699,1,0
489,8,4,14.96265173,2.442296919,70.56183746,1,0
494,33,8,21.20018536,3.655380334,60.3463324,1,0
501,8,6,26.07786116,2.253939962,68.97025641,1,0
504,8,4,16.42685185,2.139444444,53.93727811,1,0
507,2,3,14.24824356,3.836533958,61.73043478,2,0
513,2,9,24.14772727,2.641875,73.93907563,1,0
524,2,3,14.52434457,2.493164794,61.98909812,1,0
525,32,3,7.828971963,3.86411215,62.51434644,3,0
528,13,4,11.49532909,5.010300429,65.00643777,2,0
532,2,4,22.168000000000003,2.7208,53.9623431,3,0
538,20,3,-5.861195542000001,3.916717325,65.93277311,1,0
542,32,11,8.755388941,1.932239925,58.926,1,0
545,8,10,17.71111111,0.541203704,71.80200861,1,0
547,24,3,3.809554731,2.449907063,58.47586207,1,0
552,39,8,30.95347594,6.152406417000001,62.07506702,2,0
553,8,12,6.611627907000001,2.40872093,63.52034884,1,0
555,22,10,21.70714286,1.6105714290000002,57.74,1,0
564,38,9,20.20833333,0.989322917,68.45479452,3,0
565,22,7,25.4552017,2.285562633,81.21585903,2,0
566,39,4,18.94707521,3.291457753,63.68699187,3,0
576,2,3,16.39919137,2.976280323,46.1671159,4,1
589,10,6,20.24957507,5.543626062,30.14730878,3,0
595,4,11,12.33527778,2.088888889,25.275,3,0
599,13,3,-2.744920993,3.952954545,65.52424942,3,0
606,22,11,13.83082524,2.233980583,66.08201893,1,0
608,5,5,18.56237817,1.998148148,29.99706745,3,0
613,22,2,6.8272222220000005,4.168888889,59.25655977,4,1
614,5,10,12.64453376,3.113826367,76.49267399,1,0
621,22,10,15.92195122,1.054613936,77.99531616,1,0
627,23,5,15.15561644,3.361111111,56.7270195,1,0
630,23,3,1.565833333,3.306666667,62.64561404,1,0
632,14,3,8.011121409,1.6367604269999998,66.09507446,2,0
633,23,7,26.39644809,3.199180328,34.51639344,5,1
636,29,8,24.47675,2.7245,30.705,3,0
642,14,4,11.01139601,2.411142857,57.60248447,1,0
646,4,9,22.66825548,2.161296473,49.85805763,1,0
654,13,10,10.44314869,4.820991254,47.14868805,5,1
655,8,6,28.68453039,2.177348066,63.64088398,1,0
661,22,5,23.38189415,1.486629526,66.13091922,1,0
665,37,10,18.98991597,4.349159664,34.40506329,4,1
670,1,7,14.41870629,2.010858144,63.98153034,2,0
671,3,6,25.24664879,3.0093833780000003,59.42359249,4,1
676,10,7,20.48377581,1.491445428,51.2191358,1,0
680,2,3,1.853038674,5.485359116000001,63.33333333,3,0
685,44,3,4.037825058999999,3.573838631,65.40740741,3,0
695,22,3,12.88309456,2.9369627510000003,68.74269006,1,0
708,26,5,6.349409449,7.269291339,70.07983193,2,0
710,22,8,26.73463687,1.5977653630000002,63.53954802,2,0
711,10,7,23.66243523,3.887564767,35.52072539,3,0
714,39,7,30.43086191,3.635866543,58.62624822,2,0
721,28,4,5.179633867,5.943249428,44.46313364,4,1
722,5,6,18.74972376,2.020994475,41.83425414,2,0
730,20,7,20.41748527,2.7392927310000004,65.17519685,1,0
744,43,4,9.4,3.08,33.3,1,0
745,30,4,7.708588957000001,3.210736196,75.10508475,1,0
755,39,1,17.1395881,3.4178398060000004,63.36748634,3,0
763,23,4,5.498888889,3.094166667,63.13611111,1,0
769,38,10,19.0304878,0.3968292679999999,73.27541828,3,0
773,36,2,8.31047266,1.974698795,63.36674817,3,0
775,8,2,13.95762712,3.477854671,62.11196911,1,0
778,22,6,24.04566636,1.174347015,68.63870353,1,0
779,7,8,28.495625,2.8839583330000003,80.2519084,1,0
782,30,8,21.65820106,2.327336861,82.25179856,1,0
788,39,8,30.38156162,4.601505174,65.48635478,1,0
801,20,5,7.929092805,4.025234619,69.25646794,1,0
804,8,7,29.28571429,1.8767507,68.92749529,1,0
811,39,2,0.966666667,4.48603352,72.61242604,4,1
817,10,8,25.72554348,4.298595506,37.16011236,2,0
818,5,7,22.5855615,3.1244623660000004,39.03763441,1,0
826,8,11,11.78280423,1.7010840109999998,63.50628931,1,0
834,38,4,9.642826087,1.4028260869999998,62.83789954,4,1
842,36,3,13.20087336,2.944541485,72.92527473,1,0
848,10,8,22.17847025,1.050424929,58.375,3,0
856,22,2,5.824233982999999,2.991364903,70.26462396,1,0
858,3,4,11.73606911,2.782721382,66.13716814,3,0
860,5,9,13.31325301,2.071268657,49.8793591,1,0
864,2,7,27.01960352,2.469603524,66.59251101,1,0
873,28,6,29.62512195,4.84,39.18536585,1,0
874,22,10,21.66161935,2.119915701,67.24657534,1,0
885,19,5,5.673029046,4.225619835,77.79338843,1,0
888,4,6,22.52380952,4.187955182,30.32212885,1,0
890,29,7,35.08791209,3.180769231,7.889807162999999,3,0
892,19,3,8.316419295,3.880103627,71.99792746,3,0
897,22,7,28.33712121,2.291627022,54.27307326,1,0
898,42,4,8.711842105,3.014095745,57.91489362,3,0
904,6,4,2.551622419,3.735103245,63.06896552,3,0
905,8,3,6.597029703,0.897,73.75,1,0
909,4,6,30.77917808,3.448219178,15.69589041,4,1
919,32,2,9.842815815,3.391899711,63.89060773,4,1
920,26,8,23.76830986,3.719529412,60.88705882,1,0
925,5,5,20.1675,3.096944444,50.7,2,0
929,22,2,8.709954751,3.3687782810000004,56.42105263,2,0
932,28,7,21.96842105,3.25754386,26.49647887,1,0
933,24,8,26.35137318,2.465957447,79.82833333,1,0
937,28,7,28.17055215,3.762269939,50.12883436,4,1
938,22,2,8.694444444,3.186944444,71.64469914,4,1
947,43,5,11.4497683,3.439017609,67.01477833,4,1
956,8,2,9.055248619,3.292265193,55.45930233,1,0
959,2,3,12.90594059,2.108933002,66.08264463,4,1
963,21,3,-0.064606742,3.17688588,63.08043694,4,1
970,24,4,8.339219331,2.067753961,53.93839836,1,0
974,42,7,23.89473684,3.1528708130000003,43.28229665,3,0
984,43,9,15.97893773,1.972527473,72.22972973,1,0
988,32,8,29.99629286,0.121686747,60.03817505,4,1
1002,14,3,9.869082126,3.323429952,72.94910941,1,0
1003,22,9,24.92391304,1.7239782019999998,67.870317,1,0
