fire_id,state_no,discovery_month_no,Temp_pre_7,Wind_pre_7,Hum_pre_7,fire_size_bin_no,medium_plus
3,29,6,18.1425641,3.671282051,35.35384615,1,0
24,22,4,15.60479042,1.775903614,59.61445783,3,0
31,25,4,-4.273833671,6.65862069,71.17311609,1,0
35,8,10,18.18867925,2.211428571,60.32857143,3,0
36,28,7,34.89333333,3.695833333,18.20833333,5,1
48,44,4,11.73579545,2.940116279,40.64534884,4,1
54,45,7,24.40402299,2.821511628,37.62209302,1,0
56,32,12,2.911842105,2.128193833,85.36936937,3,0
57,38,10,10.72222222,0.799509804,68.28723404,4,1
59,41,4,6.332934132,3.089221557,53.1257485,4,1
75,43,4,1.84,9.32,78.2,1,0
78,5,7,28.49940476,2.769642857,49.0,4,1
86,8,3,8.807539683,3.027380952,76.53301887,3,0
87,4,7,19.63333333,3.566666667,43.66666667,1,0
94,3,10,14.73988764,1.988202247,64.69662921,1,0
95,8,1,8.01547619,2.370833333,62.28686327,1,0
97,8,2,16.46974359,2.281538462,66.01025641,2,0
98,10,8,20.58231707,0.513414634,59.5,3,0
102,8,4,14.57678571,4.010119048,69.81927711,3,0
111,8,3,8.141935484,4.412962963,67.18055556,1,0
114,20,3,-10.43478261,3.891304348,62.87681159,1,0
119,6,9,6.604060914,3.873857868,35.34010152,1,0
124,32,8,34.41666667,3.982142857,36.39880952,1,0
125,8,7,28.92278481,4.007594937,66.16883117,1,0
126,22,5,17.91666667,4.4226190480000005,55.44444444,3,0
130,32,12,-2.034069401,1.700630915,88.90733591,4,1
131,4,5,27.86300578,4.902312139,20.53179191,1,0
142,4,7,26.08510638,5.017021277,24.44680851,1,0
146,25,4,-0.05988024,4.186144578,70.06289308,1,0
148,36,3,10.03777336,2.676143141,67.94379391,1,0
157,7,5,26.05645161,2.93959596,73.06289308,2,0
165,42,5,12.16666667,3.145454545,52.72727273,3,0
170,2,4,17.02094241,3.713612565,62.62303665,1,0
175,30,4,10.19047619,2.124404762,46.70238095,1,0
187,28,7,25.51436782,3.047126437,40.27011494,1,0
192,5,6,15.78106509,1.11035503,58.56089744,1,0
193,8,12,8.580912863,1.846058091,70.85279188,3,0
197,8,3,10.53571429,3.469642857,59.16071429,1,0
199,45,3,3.549494949,3.756060606,43.13131313,1,0
204,26,4,9.272,5.5334,69.118,1,0
206,8,6,25.23060109,2.142076503,76.35928144,1,0
217,36,11,14.90191388,2.959090909,68.04032258,1,0
220,8,12,7.799603175,1.818452381,67.85513078,1,0
221,34,4,6.834355828,5.726993865,71.43037975,1,0
222,22,11,12.27435388,2.222266402,68.21428571,2,0
227,21,3,8.305555556,4.527777778,46.87698413,3,0
230,7,6,28.04398148,2.301869159,71.71495327,1,0
232,7,7,25.728125,1.74984326,80.19242902,4,1
237,28,3,16.4,6.3875,22.725,3,0
251,22,2,11.37323944,3.5300469480000003,74.15243902,3,0
261,24,5,15.2327044,1.526205451,61.81341719,2,0
266,37,5,8.09047619,5.335714286,64.56741573,1,0
276,22,2,9.990963855,1.873493976,50.25903614,1,0
280,8,2,-16.89863014,3.997260274,73.94117647,1,0
284,22,10,16.13772455,2.535542169,65.90361446,3,0
286,4,6,17.09090909,5.270909091,35.43838384,2,0
290,40,8,23.05882353,2.347058824,49.76470588,1,0
297,44,4,12.69115044,3.714159292,29.625,1,0
313,25,5,2.457943925,6.230841121,55.09813084,1,0
