,fire_index,Temp_pre_30,Wind_pre_30,Hum_pre_30
0,3,16.27596717,4.054982415,44.77842907
1,24,13.46861925,2.038268156,57.99720670000001
2,31,-0.8916349809999999,5.800666667000001,77.57501206
3,35,20.07947977,3.65984,67.55178268
4,36,31.05585937,4.026367187,28.78320313
5,48,8.9048,4.18489426,56.23867069
6,54,22.72938005,3.148513514,37.25675676
7,56,8.523263157999999,3.278095238,76.61521739
8,57,14.40471888,1.976602238,73.77567887
9,59,8.864242424,3.135151515,52.83489097
10,75,3.713043478,5.752173912999999,66.91111111
11,78,27.85048276,2.58,44.7062069
12,86,10.97154851,2.438199627,70.45740836
13,87,21.73636364,4.227272727,49.36363636
14,94,17.81246973,1.297578692,66.64366374
15,95,8.147935035,1.737633411,60.78588808
16,97,9.430668127,2.727601314,68.88056206
17,98,21.5948324,0.564106145,58.11033520000001
18,102,12.84916667,3.94,66.63687151
19,111,9.76573499,3.2640625,66.86682243
20,114,-2.428571429,3.833282675,74.28658537
21,119,8.664914586,4.722141918999999,40.75965379
22,124,33.97345013,3.947843666,37.33962264
23,125,28.18606061,3.3301538460000004,65.93290735
24,126,15.41722222,4.2986111110000005,59.85915493
25,130,0.269237833,2.04214876,77.41107185
26,131,24.38005502,4.2039889960000005,16.61019284
27,142,26.63636364,4.91010101,19.66161616
28,146,-1.333333333,3.925558659,76.08645533
29,148,9.462435838,3.178114792,65.43231899
30,157,23.9530451,2.731174278,72.50804829
31,165,12.35106383,2.196153846,57.91025641
32,170,16.58855886,3.472937294,66.75247525
33,175,6.530284302,3.062917182,61.73507463
34,187,24.02811671,3.772413793,28.45949535
35,192,11.74899058,1.548317631,61.60083682
36,193,11.56821378,2.082512893,70.15806662
37,197,9.69099723,3.854155125,59.47965116
38,199,-4.752636719,2.566113281,58.96285435
39,204,8.176333022,5.272965388,53.64546305
40,206,23.80095579,2.394504182,75.06703146
41,217,16.65162542,1.436050461,66.92937123
42,220,11.23170732,1.898634146,71.51806491
43,221,5.052132701000001,4.87614534,67.19410745
44,222,11.3474026,2.223886827,66.80668127
45,227,4.907527881,3.316968852,64.06889952
46,230,26.41514523,2.52195122,72.25556734
47,232,25.88221884,2.158599696,79.37366003
48,237,11.2238806,5.811940299,28.17910448
49,251,15.16744412,3.357240039,77.15352697
50,261,16.81509795,1.394457716,66.23065550000001
51,266,8.912280702,6.020350877,61.40078844
52,276,10.09845288,2.14374121,69.73980309
53,280,-10.23333333,3.831023102,82.49462366
54,284,18.92649098,2.491748252,67.4
55,286,16.59636872,4.586219739,35.27061015
56,290,26.37894737,2.076842105,41.35789474
57,297,10.8684435,3.11684435,43.23409669
58,313,8.762987737000001,5.76477146,54.86241611
59,315,6.189953271,3.377139508,65.54694836
60,318,13.88100559,3.958108108,54.1463964
61,323,12.73972868,4.985645005,68.63189569
62,324,7.759432932999999,3.326717557,71.58789954
63,328,16.68584759,3.390654206,66.64962121
64,338,20.5,4.866666667,37.66666667
65,343,6.300714286,3.3505730660000004,67.45244957
66,344,9.757039187,3.025726744,41.74563953
67,347,16.18298851,1.557931034,70.53521127
68,357,12.57722008,1.3764478759999998,58.98604911
69,360,-0.914884393,3.963728324,72.96802326
70,361,27.90471254,2.425754717,72.58578680000001
71,368,8.291103604,4.492298981,38.23216308
