,fire_index,Temp_pre_15,Wind_pre_15,Hum_pre_15
0,3,18.99618138,3.398329356,37.14081146
1,24,15.06722689,1.7379213480000002,56.74719101
2,31,0.372659176,6.012851782,75.96398104
3,35,17.72271386,3.366442953,61.7337884
4,36,32.5234375,3.844921875,25.7890625
5,48,12.492723,3.882897862,49.52731591
6,54,23.7672043,2.737837838,37.38648649
7,56,5.933657587999999,3.311328125,80.17729084
8,57,11.63909465,1.750730689,70.18932039
9,59,8.231321839,3.3071839080000003,53.92330383
10,75,2.4625,7.3,79.75
11,78,28.16509695,2.664542936,42.9833795
12,86,10.70697674,2.365860465,71.45977011
13,87,18.58,3.68,58.0
14,94,18.10641975,1.660246914,66.16243655
15,95,8.484572491,1.7823420069999998,60.89057751
16,97,11.39900498,2.445273632,60.87531172
17,98,21.20505618,0.538764045,57.84269663
18,102,14.95166667,3.794722222,66.33798883
19,111,9.725373134,3.456465517,65.30751174
20,114,-4.907284768,4.442715232,68.84333333
21,119,7.032212885,4.633613445,37.54297994
22,124,34.19567568,4.2013513510000005,37.63513514
23,125,29.04465409,3.630128205,67.66013072
24,126,18.23555556,4.309444444,62.5
25,130,0.3441340779999999,2.018249534,80.88157895
26,131,26.35081967,4.290163934,17.05737705
27,142,26.79,4.841,21.71
28,146,-0.153203343,4.10027933,70.22126437
29,148,10.21448468,2.811420613,68.19847328
30,157,25.38432836,2.619662921,74.23092170000001
31,165,14.43589744,3.0521739130000003,49.91304348
32,170,17.43949045,3.234819533,70.84288747
33,175,9.298050139,2.304178273,49.27323944
34,187,24.79572193,3.532352941,33.35294118
35,192,13.26522327,1.4974289580000002,60.52248062
36,193,12.44159544,1.915194682,76.58732612
37,197,9.448476454,4.0457063710000005,55.69971671
38,199,1.062383178,3.0901869160000004,50.18501171
39,204,10.69877243,5.712747875,52.39376771
40,206,24.28544153,2.167064439,76.92328042
41,217,15.49544073,1.732016211,64.49133858
42,220,11.6038961,1.474489796,72.87644342
43,221,7.632047478,5.031750742,60.76595745
44,222,8.625231911,2.612801484,66.46703911
45,227,7.051948052,3.796750232,54.50473485
46,230,26.84,2.045196507,73.86681223
47,232,25.90976331,1.96735905,80.0044843
48,237,13.30769231,6.128205127999999,23.03846154
49,251,13.40283976,3.50811359,72.42241379
50,261,15.95551257,1.503288201,69.49512671
51,266,6.94375,5.775,63.8175
52,276,10.01708683,2.203361345,57.41456583
53,280,-10.89263804,4.533128833999999,77.70129870000001
54,284,19.04748603,2.819830028,70.38810198
55,286,18.67226891,4.902987862,35.72523364
56,290,24.46341463,2.263414634,49.12195122
57,297,9.959183673,3.337142857,44.45918367
58,313,6.695475113,5.626244344,51.63122172
59,315,7.628813559,3.85631068,62.93446602
60,318,15.70593407,4.000441501,56.73951435
61,323,11.27167969,5.72578125,68.9739479
62,324,7.071428571,3.327692308,71.17431193
63,328,17.13504823,3.429677419,65.70479705
64,338,21.125,3.35,52.5
65,343,6.375792507000001,3.387572254,65.15362319
66,344,9.229551451,3.199736148,46.97889182
67,347,19.25123153,1.365517241,69.795
68,357,14.11724806,1.65125969,59.12717391
69,360,1.351149425,3.808333333,72.24637681
70,361,27.55888325,2.405423729,74.83804143
71,368,8.397396963,4.690611354,40.22489083
72,374,20.76040268,2.427133269,23.45733461
73,377,8.528944381,1.59568672,60.6009122
74,382,17.641527,1.713873371,57.92401216
75,384,2.762664165,3.582082552,68.01929825
76,385,4.234074074,4.196574074,71.08534323
77,389,10.46093458,2.519318182,68.27234927
78,396,8.467099166,5.076508821,53.82265552
79,399,15.28444444,4.148611111,62.82535211
80,401,30.85135135,3.969863014,21.42465753
81,407,27.10721248,2.196831683,74.18459916
82,421,6.724170616,2.319241706,57.58605664
83,424,28.80277778,4.579907407,35.8962963
84,439,4.384044527,2.169953488,68.45183044
85,440,4.085761047,3.982487725,66.83584590000001
86,441,14.81461538,1.545384615,51.26756757
87,445,12.60490694,2.515736041,55.70491803
88,448,11.46931818,3.428977273,64.12280702
89,464,-2.86972821,6.056619717999999,65.80432738
90,470,13.66272494,3.140359897,63.03608247
91,479,26.16666667,2.541919192,70.11794872
92,482,18.68709677,3.703225806,37.74193548
93,484,20.9630854,2.64600551,77.41046832
94,486,28.08231707,2.323272358,54.82418699
95,489,14.96265173,2.442296919,70.56183746
96,494,21.20018536,3.655380334,60.3463324
97,501,26.07786116,2.253939962,68.97025641
98,504,16.42685185,2.139444444,53.93727811
99,507,14.24824356,3.836533958,61.73043478
100,513,24.14772727,2.641875,73.93907563
101,524,14.52434457,2.493164794,61.98909812
102,525,7.828971963,3.86411215,62.51434644
103,528,11.49532909,5.010300429,65.00643777
104,532,22.168000000000003,2.7208,53.9623431
105,538,-5.861195542000001,3.916717325,65.93277311
106,542,8.755388941,1.932239925,58.926
107,545,17.71111111,0.541203704,71.80200861
108,547,3.809554731,2.449907063,58.47586207
109,552,30.95347594,6.152406417000001,62.07506702
110,553,6.611627907000001,2.40872093,63.52034884
111,555,21.70714286,1.6105714290000002,57.74
112,564,20.20833333,0.989322917,68.45479452
113,565,25.4552017,2.285562633,81.21585903
114,566,18.94707521,3.291457753,63.68699187
115,576,16.39919137,2.976280323,46.1671159
116,589,20.24957507,5.543626062,30.14730878
117,595,12.33527778,2.088888889,25.275
118,599,-2.744920993,3.952954545,65.52424942
119,606,13.83082524,2.233980583,66.08201893
120,608,18.56237817,1.998148148,29.99706745
121,613,6.8272222220000005,4.168888889,59.25655977
122,614,12.64453376,3.113826367,76.49267399
123,621,15.92195122,1.054613936,77.99531616
124,627,15.15561644,3.361111111,56.7270195
125,630,1.565833333,3.306666667,62.64561404
126,632,8.011121409,1.6367604269999998,66.09507446
127,633,26.39644809,3.199180328,34.51639344
128,636,24.47675,2.7245,30.705
129,642,11.01139601,2.411142857,57.60248447
130,646,22.66825548,2.161296473,49.85805763
131,654,10.44314869,4.820991254,47.14868805
132,655,28.68453039,2.177348066,63.64088398
133,661,23.38189415,1.486629526,66.13091922
134,665,18.98991597,4.349159664,34.40506329
135,670,14.41870629,2.010858144,63.98153034
136,671,25.24664879,3.0093833780000003,59.42359249
137,676,20.48377581,1.491445428,51.2191358
138,680,1.853038674,5.485359116000001,63.33333333
139,685,4.037825058999999,3.573838631,65.40740741
140,695,12.88309456,2.9369627510000003,68.74269006
141,708,6.349409449,7.269291339,70.07983193
142,710,26.73463687,1.5977653630000002,63.53954802
143,711,23.66243523,3.887564767,35.52072539
144,714,30.43086191,3.635866543,58.62624822
145,721,5.179633867,5.943249428,44.46313364
146,722,18.74972376,2.020994475,41.83425414
147,730,20.41748527,2.7392927310000004,65.17519685
148,744,9.4,3.08,33.3
149,745,7.708588957000001,3.210736196,75.10508475
150,755,17.1395881,3.4178398060000004,63.36748634
151,763,5.498888889,3.094166667,63.13611111
152,769,19.0304878,0.3968292679999999,73.27541828
153,773,8.31047266,1.974698795,63.36674817
154,775,13.95762712,3.477854671,62.11196911
155,778,24.04566636,1.174347015,68.63870353
156,779,28.495625,2.8839583330000003,80.2519084
157,782,21.65820106,2.327336861,82.25179856
158,788,30.38156162,4.601505174,65.48635478
159,801,7.929092805,4.025234619,69.25646794
160,804,29.28571429,1.8767507,68.92749529
161,811,0.966666667,4.48603352,72.61242604
162,817,25.72554348,4.298595506,37.16011236
163,818,22.5855615,3.1244623660000004,39.03763441
164,826,11.78280423,1.7010840109999998,63.50628931
165,834,9.642826087,1.4028260869999998,62.83789954
166,842,13.20087336,2.944541485,72.92527473
167,848,22.17847025,1.050424929,58.375
168,856,5.824233982999999,2.991364903,70.26462396
169,858,11.73606911,2.782721382,66.13716814
170,860,13.31325301,2.071268657,49.8793591
171,864,27.01960352,2.469603524,66.59251101
172,873,29.62512195,4.84,39.18536585
173,874,21.66161935,2.119915701,67.24657534
174,885,5.673029046,4.225619835,77.79338843
175,888,22.52380952,4.187955182,30.32212885
176,890,35.08791209,3.180769231,7.889807162999999
177,892,8.316419295,3.880103627,71.99792746
178,897,28.33712121,2.291627022,54.27307326
179,898,8.711842105,3.014095745,57.91489362
180,904,2.551622419,3.735103245,63.06896552
181,905,6.597029703,0.897,73.75
182,909,30.77917808,3.448219178,15.69589041
183,919,9.842815815,3.391899711,63.89060773
184,920,23.76830986,3.719529412,60.88705882
185,925,20.1675,3.096944444,50.7
186,929,8.709954751,3.3687782810000004,56.42105263
187,932,21.96842105,3.25754386,26.49647887
188,933,26.35137318,2.465957447,79.82833333
189,937,28.17055215,3.762269939,50.12883436
190,938,8.694444444,3.186944444,71.64469914
191,947,11.4497683,3.439017609,67.01477833
192,956,9.055248619,3.292265193,55.45930233
193,959,12.90594059,2.108933002,66.08264463
194,963,-0.064606742,3.17688588,63.08043694
195,970,8.339219331,2.067753961,53.93839836
196,974,23.89473684,3.1528708130000003,43.28229665
197,984,15.97893773,1.972527473,72.22972973
