fire_id,km_class7,km_class15,km_class30,km_pca_class7,km_pca_class15,km_pca_class30,hc_class7,hc_class15,hc_class30,km_scaled_class7,km_scaled_class15,km_scaled_class30
15115,2,3,0,2,1,0,0,0,0,0,0,0
15125,2,0,3,1,0,2,2,2,2,2,2,2
15128,2,2,2,0,2,1,1,1,1,1,1,1
15137,2,0,3,1,1,0,2,0,0,2,0,0
15138,0,0,3,1,0,2,2,2,0,2,2,0
15152,2,0,3,0,0,2,0,0,2,0,0,2
15158,1,1,1,0,2,1,1,1,1,1,1,1
15159,2,0,0,1,0,2,2,0,2,2,0,2
15161,0,0,3,2,1,0,0,0,0,0,0,0
15170,2,3,0,0,1,1,1,0,1,1,0,1
15178,0,0,2,2,1,0,0,0,0,0,0,0
15181,0,0,3,1,0,2,2,2,2,2,2,2
15187,0,0,3,1,0,2,2,2,2,2,2,2
15188,0,3,0,2,1,0,0,0,0,0,0,0
15191,0,0,3,2,1,2,0,0,2,0,0,2
15197,1,2,2,0,2,1,2,1,1,2,1,1
15198,0,0,3,1,0,2,2,2,2,2,2,2
15201,1,1,1,0,2,1,1,1,1,1,1,1
15202,1,1,2,0,2,1,1,1,1,1,1,1
15205,2,0,3,1,0,2,2,2,2,2,2,2
15211,1,1,1,0,2,1,1,1,1,1,1,1
15212,0,0,3,1,0,2,2,2,2,2,2,2
15215,2,2,2,0,1,1,2,0,1,2,0,1
15217,0,0,3,1,0,2,2,2,2,2,2,2
15221,2,0,0,2,1,0,0,0,0,0,0,0
15225,1,1,1,0,2,1,1,1,1,1,1,1
15228,2,0,3,2,0,2,2,2,0,2,2,0
15229,0,0,3,1,0,2,0,2,2,0,2,2
15234,0,3,0,1,0,2,2,2,0,2,2,0
15235,2,0,3,1,0,2,2,0,0,2,0,0
15239,0,0,3,1,0,2,0,2,2,0,2,2
15261,2,3,0,2,1,0,0,0,0,0,0,0
15265,1,1,1,0,2,1,1,1,1,1,1,1
15272,1,1,1,0,2,1,1,1,1,1,1,1
15280,1,2,2,0,2,1,1,1,1,1,1,1
15282,0,3,0,2,1,0,0,0,0,0,0,0
15286,0,0,3,1,0,2,0,2,0,0,2,0
15287,0,0,3,2,1,0,0,0,0,0,0,0
15291,0,3,0,2,1,0,0,0,0,0,0,0
15300,2,0,2,2,0,2,0,0,1,0,0,1
15301,0,3,0,2,1,2,2,0,0,2,0,0
15305,2,0,3,1,0,2,2,2,2,2,2,2
15308,2,0,3,1,0,2,2,2,2,2,2,2
15309,2,0,3,1,0,2,2,2,2,2,2,2
15313,0,0,3,1,0,2,0,2,2,0,2,2
15314,2,2,2,0,2,1,2,1,1,2,1,1
15320,0,0,3,1,0,2,2,2,2,2,2,2
15326,0,0,3,1,0,2,2,2,2,2,2,2
15347,0,3,0,2,1,0,0,0,0,0,0,0
15352,0,0,3,1,0,2,2,2,2,2,2,2
15355,0,3,0,2,1,0,2,0,0,2,0,0
15358,0,0,3,1,0,2,2,2,2,2,2,2
15363,0,0,3,1,0,2,0,2,2,0,2,2
15379,0,0,3,1,0,0,0,2,0,0,2,0
15382,0,0,3,2,1,0,0,0,0,0,0,0
15385,2,2,2,0,2,1,2,0,1,2,0,1
15391,1,2,2,0,2,0,1,1,0,1,1,0
15395,2,2,2,2,1,0,0,0,0,0,0,0
15396,1,1,1,0,2,1,1,1,1,1,1,1
15407,0,3,0,2,1,0,0,0,0,0,0,0
15414,2,2,3,1,0,2,2,2,2,2,2,2
15418,2,2,2,0,2,1,1,1,1,1,1,1
15424,0,3,0,2,1,0,0,0,0,0,0,0
15435,0,3,0,1,0,2,2,2,2,2,2,2
15436,1,2,2,0,2,1,1,1,1,1,1,1
15438,1,1,1,0,2,1,2,1,1,2,1,1
15440,0,3,0,2,1,0,0,0,0,0,0,0
15441,0,0,3,1,0,2,2,2,0,2,2,0
15443,1,1,2,0,2,1,1,1,1,1,1,1
15446,0,3,0,2,1,0,0,0,0,0,0,0
15448,2,3,0,2,1,0,0,0,0,0,0,0
15449,0,3,0,2,1,0,0,0,0,0,0,0
15452,0,3,0,2,1,0,0,0,0,0,0,0
15454,0,0,3,2,1,0,0,0,0,0,0,0
15456,2,0,3,1,0,2,2,0,0,2,0,0
15461,0,0,3,2,1,0,0,0,0,0,0,0
15466,2,0,3,1,0,2,2,2,2,2,2,2
15473,1,1,1,0,2,1,1,1,1,1,1,1
15477,0,0,3,2,1,0,0,0,0,0,0,0
15485,2,2,2,0,2,1,2,1,1,2,1,1
15488,1,1,1,0,2,1,1,1,1,1,1,1
15490,2,0,2,1,0,2,2,2,2,2,2,2
15493,2,2,2,2,1,1,0,0,1,0,0,1
15495,2,0,3,1,0,2,2,2,2,2,2,2
15496,0,0,3,1,0,2,2,2,2,2,2,2
15497,2,0,3,1,0,2,2,2,2,2,2,2
15503,2,2,1,0,2,1,2,1,1,2,1,1
15507,2,3,0,2,1,0,0,0,0,0,0,0
15508,2,2,2,2,1,0,0,0,0,0,0,0
15509,0,3,0,2,1,0,0,0,0,0,0,0
15513,2,3,0,2,1,0,0,0,0,0,0,0
15519,0,3,0,2,0,0,0,2,0,0,2,0
15536,2,2,2,2,1,0,0,0,0,0,0,0
15537,1,1,2,0,2,1,1,1,1,1,1,1
15540,0,0,3,2,1,0,0,2,0,0,2,0
15543,2,3,0,2,1,0,0,0,0,0,0,0
15556,2,0,3,1,0,2,2,2,2,2,2,2
15557,2,2,2,2,1,1,0,0,1,0,0,1
15569,0,3,0,2,1,0,0,0,0,0,0,0
15572,0,0,3,1,0,2,2,2,2,2,2,2
15576,0,3,0,2,1,0,0,0,0,0,0,0
15578,0,3,0,2,1,0,0,0,0,0,0,0
15580,0,3,0,2,1,0,0,0,0,0,0,0
15581,2,0,3,1,0,2,2,2,0,2,2,0
15585,0,3,0,2,1,0,0,0,0,0,0,0
15596,1,2,2,0,2,1,1,1,1,1,1,1
15597,0,3,0,2,1,0,0,0,0,0,0,0
15598,0,3,0,2,1,0,0,0,0,0,0,0
15602,0,0,2,2,0,2,2,2,2,2,2,2
15611,0,3,0,0,0,2,2,2,2,2,2,2
15612,1,2,2,0,2,1,1,1,1,1,1,1
15615,2,0,3,2,1,0,0,0,0,0,0,0
15620,0,3,0,2,1,0,0,0,0,0,0,0
15625,0,0,3,1,0,2,2,2,2,2,2,2
15629,1,1,1,1,2,1,1,1,1,1,1,1
15634,1,1,1,0,2,1,1,1,1,1,1,1
15640,0,0,3,1,0,2,2,2,2,2,2,2
15643,2,0,3,1,0,2,2,2,2,2,2,2
