,fire_name,discovery_month,putout_time,year
826,FY2002-CARROLL-037,Nov,0,2001
834,BRIMESTONE,Apr,2,2007
838,OLD TIMER,Mar,4,1994
847,PEARL DRIVE,Jul,0,2011
848,T,Aug,5,2003
858,BAX23614311,Apr,0,2014
860,CLARK,Sep,0,2011
866,RL439,Apr,0,2000
873,WOOD CANYON COMPLEX,Jun,0,2010
874,762,Oct,0,2015
886,TRIBAL,May,0,2002
888,JACK,Jun,1,2000
890,WHITNEY PASS,Jul,2,2007
892,OGEMAW 02 - DECKERVILLE,Mar,0,2012
898,TURNER CREEK,Apr,167,2015
900,BUTTERFIELD,Jul,0,1998
904,EASTER,Apr,0,1998
909,CUMARO,Jun,3,2008
919,30311,Feb,0,2009
921,9.2014E+11,Jan,0,2014
922,HONEY SPRINGS,Aug,3,2012
925,COUNTY ROAD 31  / COUNTY,May,0,2012
928,MT ZION,Nov,0,2014
932,COTTONWOOD,Jul,1,2004
933,EAGLE SPRINGS SANDPIT,Aug,0,2010
937,HORSE,Jul,0,1998
947,SNOW FALLS FIRE,May,2,2014
953,CORNPATCH,May,0,1993
956,FY2000-WAYNE-046,Feb,0,2000
970,HORSE PASTURE FIRE,Apr,0,2013
974,HUBBARD LN,Jul,0,2002
977,021 DAY OFF,Jun,0,2012
984,RAT RIVER,Sep,0,2008
988,CARPFARM,Aug,1,2010
994,15-0052,Nov,0,2015
1001,18TH DRIVE,May,0,2012
1006,FY2011-TWIGGS-040,Jan,0,2011
1008,FIFTEENTH,Feb,0,2006
1010,CACTUS;S,Jul,0,2000
1013,HICKEY,Apr,0,2002
1016,GENE,Aug,0,2002
1017,READING,Oct,0,2012
1018,CURTIS ROAD,Jun,6,2015
1022,ROCK,Jun,0,2002
1023,382,Sep,0,2015
1030,20034,Jan,0,2011
1031,WILKEY RD. 11/22/14,Nov,0,2014
1035,WALKER,Jul,2,2008
1040,SELECK (64),Jul,0,2015
1041,MAUER,Jul,1,2003
1042,30117,Mar,0,2010
1045,"361 NEWTON HILL RD., AL",Feb,0,2011
1056,TWP ROR,Dec,0,2008
1062,LEONS,Apr,0,1999
1083,SCATWIL 01,Jul,0,2006
1086,FAREWELL,Feb,0,2011
1087,NYGARD,Apr,0,1995
1089,JEEP TRAIL,Jul,0,1999
1093,DEAD MAN,Jan,0,2006
1097,MOORE,Mar,0,2014
1099,COLE CREEK,Aug,0,2006
1101,RED LAKE 178,Apr,0,2010
1103,LENA,Sep,0,2010
1104,JAKE,Apr,1,2000
1113,JAZZY GIRL,Mar,0,2006
1122,GOOD LUCK,Aug,0,2008
1127,CHUI CHU,Jun,0,2009
