,fire_size,fire_cause,latitude,longitude,state,discovery_month,putout_time,year
4185,2.98,Accidental,30.99215,-94.43488333,TX,Oct,0,2015
4186,2.0,Debris Burning,30.76599524,-89.50500290000001,MS,Feb,0,2015
4208,8.0,Accidental,44.0725,-99.444,SD,Apr,0,2001
4214,13.0,Debris Burning,32.057064000000004,-87.50803359999999,AL,Mar,0,2011
4215,3.0,Debris Burning,33.145423,-87.482434,AL,Mar,0,2007
4218,646.0,Arson,27.0503,-81.0915,FL,Apr,3,2007
4219,36.0,Debris Burning,45.36566456,-95.37331331,MN,May,2,2015
4222,1.5,Debris Burning,37.1711,-107.5889,CO,Jan,0,2000
4224,5.5,Lightning,33.73388889,-108.985,NM,Jul,5,2000
4226,115.0,Lightning,46.14166667,-115.08944440000002,ID,Jul,91,2007
4235,1.9,Debris Burning,34.47773117,-84.08240288,GA,Mar,0,2011
4241,5.0,Lightning,61.52,-155.0,AK,Jul,4,2013
4243,2.2,Lightning,40.91805556,-123.3183333,CA,Jun,1,2008
4244,1.0,Lightning,30.27305556,-82.54805556,FL,May,0,2007
4249,30.5,Lightning,31.209619,-88.27035699999999,AL,Jul,1,2006
4262,15.5,Accidental,33.3517,-110.4532,AZ,Jun,0,1998
4269,1.0,Lightning,36.11194444,-106.29416670000002,NM,Jun,2,2008
4274,1.0,Accidental,46.2999,-120.3762,WA,Jul,0,2002
4283,1.0,Utilities,35.907779999999995,-93.21004,AR,Jun,0,2012
4284,1.0,Utilities,47.42741375,-95.63342993,MN,Nov,0,2011
4286,5.89,Debris Burning,32.7324,-82.6827,GA,Dec,0,1992
4290,15.0,Utilities,34.807926,-82.19324499999999,SC,Feb,0,2011
4291,1.0,Accidental,30.815357,-88.301767,AL,Dec,0,2003
4294,15.0,Accidental,32.71712157,-89.75545541,MS,Jan,0,2015
4299,1.0,Debris Burning,37.87205,-82.855,KY,Mar,0,2010
4306,240.0,Arson,34.55668586,-89.59937071,MS,Mar,0,1996
4308,1.0,Debris Burning,41.24883333,-78.63452778,PA,Apr,0,2003
4309,5.0,Arson,36.293783000000005,-83.189533,TN,Nov,1,2012
4313,1.0,Debris Burning,35.17689,-93.90255,AR,Nov,0,2012
4316,2.0,Arson,33.5,-79.75,SC,Jan,0,2013
4320,7.0,Accidental,32.86,-116.6983333,CA,Nov,0,1993
4322,1.0,Lightning,38.4333,-105.3172,CO,Jun,0,1992
4329,1.0,Debris Burning,41.63456,-97.97092,NE,Apr,0,2012
4331,0.75,Debris Burning,40.98305556,-75.44,PA,May,0,2002
4334,1.0,Debris Burning,35.2493,-79.72468333,NC,Jan,0,2014
4341,17.0,Accidental,31.39638889,-110.3644444,AZ,Jun,0,2003
4342,85.0,Arson,30.59194444,-89.10777778,MS,Mar,3,2006
4351,2.0,Debris Burning,33.0334,-111.8507,AZ,Jun,0,1993
4352,2.0,Arson,34.98135286,-89.14693238,MS,Jun,0,1998
4354,34.0,Arson,37.91516438,-81.89256732,WV,Jan,0,2005
4357,2.0,Accidental,35.90833333,-77.61,NC,Jan,0,2013
4358,3.8,Utilities,43.53921735,-89.19970055,WI,May,0,1994
4362,5.0,Lightning,39.66583333,-120.9591667,CA,Jun,0,2008
4367,10.0,Accidental,44.1728,-110.9228,WY,Sep,12,2008
4371,10.0,Debris Burning,35.62583333,-78.59083333,NC,Nov,0,2012
4386,1.5,Lightning,30.115,-84.815,FL,Jul,0,1998
4391,2.52,Debris Burning,32.3045,-84.5819,GA,Mar,0,1992
4392,346.0,Accidental,29.14805556,-81.81638889,FL,Apr,9,2013
4393,20.48,Utilities,33.0925,-82.9903,GA,Sep,0,1997
4399,1.03,Debris Burning,32.6475,-83.28069444,GA,Feb,0,2013
4406,4.0,Debris Burning,37.88681,-82.9256,KY,Feb,0,2002
4411,30.0,Debris Burning,34.03485,-86.280171,AL,Mar,0,2007
4414,3.0,Debris Burning,36.38184999,-94.8149833,OK,Apr,0,2010
4415,1.07,Debris Burning,32.54023287,-84.28328345,GA,Feb,0,2012
4416,52.0,Debris Burning,36.4475,-96.1342,OK,Mar,1,2010
4418,10.0,Arson,33.535709999999995,-93.05331,AR,May,0,2011
4420,16.0,Lightning,47.43972222,-120.4761111,WA,Jul,4,2013
4422,8.0,Debris Burning,31.73912113,-89.79985641,MS,Feb,0,1992
4423,600.0,Utilities,47.233,-107.967,MT,Aug,5,1996
4436,5.0,Arson,28.99472222,-81.66055556,FL,Jun,1,2000
4437,2.0,Debris Burning,34.79266,-81.719101,SC,Oct,0,2012
4439,10.0,Debris Burning,32.127099,-88.170152,AL,Feb,0,2006
4440,1.0,Utilities,34.34277778,-117.42305559999998,CA,Aug,0,2006
4450,14.0,Arson,31.924442,-88.252526,AL,Mar,0,2005
4453,1.0,Arson,48.0039,-102.5258,ND,May,0,2015
4460,1.0,Lightning,40.9697,-117.945,NV,Jul,0,2006
4462,2.0,Arson,41.5075,-75.87111,PA,Apr,0,2014
4464,2.0,Lightning,37.3856,-114.1467,NV,Aug,4,2012
4465,2.0,Arson,47.8,-98.8837,ND,Mar,0,1992
4469,15.0,Debris Burning,26.27027778,-98.40194444,TX,Apr,0,2006
4470,8.0,Debris Burning,35.2167,-108.6173,NM,Feb,0,1992
4471,5.0,Debris Burning,33.644721999999994,-81.870659,SC,Sep,0,2011
4477,1.04,Debris Burning,31.6695,-82.1966,GA,Aug,0,1995
4481,1.04,Arson,34.1387,-85.0252,GA,Mar,0,1994
4483,10.0,Utilities,32.4607,-103.1315,NM,Jun,0,2011
4484,11.0,Arson,32.87830599,-89.34589465,MS,Feb,0,1993
4491,0.6,Arson,34.25583333,-83.80766667,GA,Nov,0,2012
4496,5.0,Debris Burning,40.28944444,-94.01361111,MO,Apr,0,2014
4497,30.0,Arson,31.4121,-81.2755,GA,Apr,0,2001
4502,2.0,Arson,32.88453933,-89.56555592,MS,Feb,0,1995
4505,1.0,Debris Burning,29.931,-82.1398,FL,Mar,0,2015
4512,140.0,Arson,34.67533334,-95.13933333,OK,Sep,1,2010
4513,1.3,Accidental,32.8529,-84.3204,GA,Apr,0,2002
4514,1.0,Debris Burning,34.88,-77.18666667,NC,Mar,0,2001
4516,1.9,Arson,33.98250278,-85.33101111,GA,Aug,0,2014
4520,48.0,Arson,42.94833333,-122.7883333,OR,Aug,3,1998
4521,2.0,Lightning,26.1088,-81.5371,FL,Aug,0,2015
4524,25.6,Utilities,47.41274405,-93.25133306,MN,May,0,2013
4528,135.0,Lightning,44.70277778,-107.2430556,WY,Jun,6,2002
4531,1.3,Accidental,44.23483,-85.09671,MI,Jul,0,2012
4536,185.0,Debris Burning,32.08279897,-109.5829855,AZ,Jun,0,1992
4538,1.5,Utilities,40.84944,-79.46889,PA,Apr,0,2012
4541,1.0,Lightning,45.2714,-107.6865,MT,Aug,1,2002
4545,1.0,Debris Burning,43.371358,-90.864385,WI,Jul,0,2014
4547,1.0,Utilities,37.054865,-120.735165,CA,Nov,0,2006
4551,10.0,Lightning,45.74666667,-114.8166667,ID,Aug,25,1993
4556,72.0,Arson,47.9728,-118.2228,WA,Apr,6,2014
4557,2.0,Accidental,46.1805,-93.7586,MN,May,0,2000
4563,6.0,Debris Burning,30.68833333,-88.99416667,MS,Mar,10,2009
4564,2.0,Arson,37.65773507,-81.23907113,WV,Apr,0,1998
4568,6.7,Lightning,37.29611111,-113.3727778,UT,Jul,2,2009
4569,1.5,Arson,47.8725,-95.0108,MN,May,0,2013
4582,10.2,Debris Burning,45.26167,-96.44028,MN,Apr,13,2015
4585,140.0,Debris Burning,38.51666667,-120.2766667,CA,May,2,1993
4588,39.0,Arson,31.42173348,-90.31850153,MS,Dec,0,1996
4590,1.0,Utilities,34.45056,-103.94855,NM,Jun,0,2011
4595,200.0,Lightning,34.06,-108.375,NM,Jul,47,1996
4596,17.8,Accidental,46.50916667,-97.28111111,ND,Sep,1,2015
4599,3.0,Accidental,48.843,-100.0264,ND,Apr,0,2008
4601,0.7,Lightning,45.15056,-117.71028,OR,Jul,1,2014
4604,29.0,Arson,35.6928,-94.6878,OK,Jan,0,2014
4608,4.4,Lightning,33.58822471,-82.41990786,GA,Jun,0,2011
4609,1.6,Accidental,44.36366865,-90.02753361,WI,Apr,0,1995
4611,12.0,Accidental,32.68277778,-116.6341667,CA,Jul,2,2005
4616,2.0,Arson,34.33623035,-84.86607682,GA,Feb,0,2011
4620,0.7,Accidental,33.83170209,-83.17232805,GA,Apr,0,2012
4622,3.0,Lightning,44.98583333,-116.6011111,ID,Jul,0,2001
4625,1.0,Debris Burning,43.36679,-89.68366,WI,Apr,0,2009
4634,10.0,Lightning,42.11382,-115.82899,ID,Jun,1,2010
4639,3.44,Debris Burning,31.5675,-84.7782,GA,Jun,0,1993
4645,15.0,Debris Burning,33.48106,-86.192004,AL,Apr,0,2006
4646,7.0,Debris Burning,47.9875,-98.8962,ND,Apr,0,1997
4648,60.0,Arson,39.360933,-121.541383,CA,Jan,0,2014
4650,1.0,Debris Burning,37.389662,-89.662373,MO,Mar,0,2014
4652,7.0,Debris Burning,33.13936092,-88.66032205,MS,Feb,0,2012
4662,1.0,Lightning,45.97833333,-113.6666667,MT,Aug,31,2000
4668,14.0,Debris Burning,32.42763943,-89.77136745,MS,Mar,0,1997
4669,3.5,Lightning,30.8981,-82.1185,GA,Jul,1,1992
4670,11.0,Arson,31.14315265,-89.61777937,MS,Oct,0,1995
4672,16.09,Debris Burning,31.996,-84.9027,GA,Apr,0,1997
4677,1.25,Debris Burning,47.98726316,-93.19571973,MN,Apr,0,2014
4678,1.0,Accidental,43.0522,-102.7311,SD,Jul,0,2012
4683,1.0,Lightning,42.7666,-106.4683,WY,Aug,0,2015
4687,3.0,Arson,34.81333333,-89.10333333,MS,Mar,0,1994
4695,3.0,Arson,31.50585383,-89.39285742,MS,Aug,0,1998
4698,5.4,Lightning,43.7825,-117.85303,OR,Aug,1,2013
4701,0.96,Debris Burning,43.06394771,-74.19489108,NY,Apr,0,2001
4704,14.5,Debris Burning,33.4701,-84.6906,GA,May,0,1996
4706,1.0,Arson,37.72166667,-79.24166667,VA,Mar,1,1994
4708,2.5,Debris Burning,34.130878,-80.531212,SC,Jan,0,2012
4709,1.0,Debris Burning,38.210806,-120.684607,CA,Nov,0,2009
4710,15.0,Debris Burning,32.336212,-86.350307,AL,Feb,0,2008
4718,7.0,Utilities,32.9061,-94.91775,TX,Aug,0,2015
4722,1.5,Debris Burning,30.1332,-82.7703,FL,Apr,0,2011
4726,4.6,Debris Burning,32.46709978,-82.56461581,GA,May,0,2011
4727,33.4,Lightning,44.99,-120.04389,OR,Jun,3,2015
4728,1.02,Debris Burning,32.904,-83.3553,GA,Feb,0,1994
4729,2.0,Arson,35.712525,-120.168128,CA,Oct,0,1998
4732,4.0,Debris Burning,26.04194444,-97.7,TX,Dec,0,2007
4733,3.0,Arson,43.2397,-116.0272,ID,Jul,0,2011
4735,2.0,Arson,47.9786,-99.0003,ND,Apr,0,2007
4736,65.0,Utilities,34.9364,-98.2847,OK,Jul,0,2006
4737,1.3,Accidental,48.112,-105.2133,MT,Jul,0,1995
4739,1.0,Debris Burning,40.90167,-79.50389,PA,Apr,0,2015
4745,1.0,Arson,35.60221666,-94.86366666,OK,Dec,0,2011
4748,4.0,Accidental,41.69061,-98.0619,NE,Mar,0,2012
4750,3.1,Lightning,46.758933,-112.857533,MT,Oct,2,2011
4752,3.0,Arson,47.1519,-95.7269,MN,Apr,0,2009
4758,1.9,Accidental,43.0219,-102.5658,SD,Jul,0,2008
4769,1.0,Debris Burning,34.91178811,-88.62198748,MS,Mar,0,1994
4770,20.0,Arson,31.7893,-81.6331,GA,Jul,0,1993
4771,1.0,Utilities,42.7364,-113.9714,ID,Jun,1,2007
4772,4.0,Lightning,44.0525,-104.2647,WY,Aug,2,2008
4776,2.0,Accidental,33.418987,-81.538956,SC,Jan,0,2011
4781,4.0,Arson,32.69141733,-88.66413675,MS,Mar,0,1996
4792,13.0,Arson,35.64944439999999,-94.0786111,AR,Mar,0,2010
4793,1.0,Debris Burning,41.35,-80.08,PA,May,0,2015
4795,1.0,Debris Burning,34.496016999999995,-87.256884,AL,Oct,0,2004
4801,4.6,Utilities,43.51581,-106.46297,WY,May,0,2012
4807,0.7,Debris Burning,36.43166667,-78.83333333,NC,Mar,0,2013
4808,1.0,Debris Burning,30.2776,-85.8796,FL,May,0,2014
4809,1184.0,Lightning,47.38527778,-112.8563889,MT,Sep,55,2000
4812,8.0,Arson,31.22043946,-89.48271051,MS,Feb,0,1993
4813,8.0,Accidental,35.597083000000005,-85.28823299999999,TN,Mar,0,2014
4814,1.0,Lightning,37.90444444,-120.0347222,CA,Aug,0,2003
4816,1000.0,Lightning,66.65,-157.3705,AK,Jul,10,1997
4821,300.0,Utilities,41.95,-109.184,WY,Sep,1,1994
4829,6.0,Arson,35.7264,-94.5725,OK,Feb,0,2007
4836,6.0,Arson,34.646361,-85.62758000000001,AL,Sep,0,2005
4843,8.0,Arson,32.683271999999995,-86.740864,AL,Mar,0,2004
4868,1.0,Debris Burning,33.59865689,-84.25961965,GA,Feb,0,2011
4872,86.0,Utilities,44.6731,-111.4283,ID,Oct,0,2010
4878,1.0,Accidental,43.1908,-100.8974,SD,Jun,0,2002
4880,2.0,Arson,47.8692,-95.0075,MN,May,0,2008
4888,2.0,Debris Burning,34.72143567,-88.67693104,MS,Apr,0,1998
4903,3.0,Accidental,35.53305556,-118.6663889,CA,Jun,0,2004
4904,3.0,Arson,35.901167,-84.86251999999999,TN,Mar,0,2009
4906,1.0,Lightning,40.7166,-120.5511,CA,Jul,2,1994
4912,35.0,Debris Burning,38.44403,-83.21826999999999,KY,Oct,1,2007
4916,8.8,Utilities,34.5478,-97.0847,OK,Jul,0,2011
4921,17.0,Arson,31.37159377,-88.52773002,MS,May,0,1999
4924,4.0,Accidental,38.51472222,-111.7858333,UT,Oct,1,2001
4927,3.0,Arson,34.51044,-87.23911899999999,AL,Apr,0,2005
4929,47.0,Debris Burning,37.66277778,-91.24444444,MO,Apr,0,2005
4930,5.0,Lightning,33.9675,-108.5511111,NM,Jun,0,2000
4934,120.0,Debris Burning,34.7292,-95.6906,OK,Jan,3,2015
4936,1.0,Debris Burning,33.371933,-80.79804200000001,SC,Apr,0,2011
4939,15.0,Debris Burning,33.192499,-86.58730600000001,AL,Feb,0,2011
4941,163.0,Lightning,34.45638889,-93.88416667,AR,Aug,0,2011
4942,4.0,Arson,33.52121774,-82.43162485,GA,Mar,0,2012
4945,2.0,Arson,34.0873,-85.2105,GA,Dec,0,2001
4946,5.0,Arson,30.7422,-94.7236,TX,Feb,0,2011
4948,2.4,Debris Burning,32.15945992,-82.64755719,GA,Mar,0,2011
4949,359.0,Arson,41.1693,-123.6962,CA,Sep,16,2008
4955,3.0,Utilities,38.141261,-120.568469,CA,Jul,0,2001
4958,5.0,Utilities,32.33801272,-88.67170920000001,MS,Jun,0,2012
4960,1.43,Debris Burning,31.81723128,-83.25877196,GA,Mar,0,2012
4964,14233.0,Lightning,46.60194444,-113.7002778,MT,Jul,108,2007
4965,20.0,Arson,30.267222,-89.96055600000001,LA,Jan,0,1998
4967,2.5,Debris Burning,41.78361,-76.59083000000001,PA,Mar,0,2014
4975,98.0,Accidental,37.28815,-83.27319,KY,Mar,0,2007
4977,4.0,Arson,33.3842,-110.4336,AZ,Apr,0,2005
4980,2.0,Debris Burning,35.079317,-88.61075,TN,Oct,0,2015
4988,3.0,Debris Burning,45.64472,-123.15333,OR,Oct,0,2014
4992,6.0,Arson,34.8,-88.975,MS,Mar,0,1998
5005,1.0,Accidental,41.81302,-103.681,NE,Jul,0,2014
5007,1000.0,Utilities,42.78406,-105.4509,WY,Jun,0,2012
5013,91.0,Arson,34.1388,-85.397,GA,Oct,0,2001
5015,4.0,Debris Burning,47.1222,-109.3507,MT,Jun,1,1995
5022,60.0,Debris Burning,31.945784000000003,-85.557817,AL,Mar,0,2007
5026,3.0,Accidental,46.46054,-120.42109,WA,Jul,0,2010
5030,280.0,Arson,39.547611,-121.53075,CA,Oct,0,1999
5034,2.0,Lightning,44.93888889,-118.3547222,OR,Aug,2,2000
5040,1.0,Arson,34.79611111,-94.7425,OK,Mar,0,2013
5041,6.1,Arson,31.357559,-87.330332,AL,Jun,1,2011
5046,7.0,Debris Burning,32.63430172,-89.93436093,MS,Feb,0,1992
5051,80.0,Arson,32.69993849,-89.86738751,MS,Feb,0,2012
5052,4.0,Debris Burning,30.97490278,-83.00470833,GA,Feb,0,2013
5055,38.0,Arson,34.167148,-85.536011,AL,Oct,0,2005
5059,1.0,Debris Burning,37.70445,-84.04785,KY,Sep,0,2008
5066,23.0,Lightning,34.897940000000006,-93.4719,AR,Sep,0,2012
5070,28.0,Arson,30.98944444,-89.15333333,MS,Feb,2,2005
5073,1.49,Debris Burning,43.3382671,-76.50141274,NY,Apr,0,2008
5074,1.0,Utilities,47.29940873,-92.76043591,MN,May,0,2012
5075,80.0,Arson,36.41578334,-94.77845001,OK,Mar,0,2009
5077,0.98,Debris Burning,31.3104,-84.9362,GA,Apr,0,1997
5083,1.0,Accidental,31.33668333,-94.76383333,TX,Aug,0,2013
5089,2.0,Arson,35.44333,-93.86084,AR,Jun,0,2012
5095,40.0,Debris Burning,26.38277778,-98.90555556,TX,Feb,0,2008
5102,2.0,Debris Burning,47.8833,-95.0336,MN,Mar,0,1995
5113,4.0,Arson,47.9472,-99.0819,ND,Mar,0,2015
5119,8.0,Utilities,33.27166667,-111.2266667,AZ,May,0,1995
5121,1.59,Arson,33.6415,-84.6506,GA,Apr,0,1994
5128,6.0,Arson,31.44920364,-88.96139998,MS,Oct,0,1998
5131,5.0,Debris Burning,35.213,-92.07,AR,Jan,0,2015
5138,40.0,Lightning,39.8833,-114.5342,NV,Aug,1,2000
5140,0.75,Debris Burning,40.98361111,-122.685,CA,Jun,0,2007
5144,0.55,Arson,33.38305556,-82.06638889,GA,Oct,0,2013
5152,2.0,Debris Burning,33.283909,-81.018585,SC,Feb,0,2011
5155,3.0,Debris Burning,33.450001,-79.699997,SC,May,0,2014
5158,15.0,Debris Burning,34.91174364,-89.65836919,MS,Mar,0,2014
5164,1.0,Lightning,40.065,-121.005,CA,Aug,2,1996
5167,2.0,Accidental,37.8144711,-81.42351441,WV,Apr,0,1997
5174,3900.0,Lightning,44.43,-115.1466667,ID,Aug,15,1998
5175,1.0,Utilities,34.27634304,-90.14928803,MS,Oct,0,1995
5178,1.1,Lightning,31.14137676,-81.57004585,GA,May,0,2011
5185,1.0,Debris Burning,37.5217,-83.37424,KY,Apr,0,2010
5190,2.5,Accidental,47.8716,-95.0106,MN,Apr,0,2003
5196,6.0,Lightning,33.34416667,-109.2227778,AZ,Jun,0,2002
5208,5.0,Debris Burning,37.82276,-83.33535,KY,Mar,0,2010
5209,1.0,Debris Burning,32.00067683,-89.04118479,MS,Jan,0,1994
5213,1.0,Arson,47.9803,-99.0025,ND,Apr,0,2007
5215,12.0,Debris Burning,31.458074,-86.726782,AL,Feb,0,2007
5218,27.0,Lightning,47.93666667,-120.45333329999998,WA,Sep,3,1996
5221,7.8,Debris Burning,32.58388657,-83.80592661,GA,Mar,0,2012
5231,4.0,Lightning,28.79833333,-80.86,FL,Jun,4,2003
5236,3.0,Lightning,47.9383333,-120.403611,WA,Jul,1,2010
5237,2.13,Accidental,43.04409323,-77.69784812,NY,Apr,0,2003
5238,0.86,Lightning,43.21403661,-74.13886284,NY,Apr,0,2004
5245,48.0,Debris Burning,32.5271,-84.0559,GA,Aug,0,2000
5249,300.0,Utilities,34.63192,-95.54938,OK,Aug,1,2015
5254,2.0,Debris Burning,31.59061848,-89.77904269,MS,Jan,0,1995
5258,1.0,Debris Burning,40.471567,-122.453333,CA,May,0,2013
5262,1.0,Debris Burning,34.80507545,-88.78212342,MS,Oct,0,1994
5264,4.0,Arson,34.01671413,-85.18163283,GA,Aug,0,2002
5269,0.7,Lightning,46.40333333,-115.4636111,ID,Aug,2,2000
5284,4.7,Lightning,36.9378,-107.0648,NM,Jul,1,2012
5287,1.0,Lightning,48.86833333,-115.5683333,MT,Aug,39,2000
5290,10.0,Debris Burning,31.70056111,-81.71305278,GA,Feb,0,2014
5295,6.0,Debris Burning,33.175218,-86.544688,AL,Dec,0,2005
5302,1.5,Debris Burning,30.932176,-87.81038000000001,AL,Mar,0,2007
5305,0.75,Accidental,45.53592211,-92.99271136,MN,Apr,0,2015
5306,1.94,Arson,32.5445,-84.8063,GA,Jul,0,2000
5311,10.0,Lightning,34.46916667,-94.1375,AR,Nov,3,2005
5312,45.0,Arson,27.9982,-81.2542,FL,Apr,0,2011
5318,3.0,Arson,35.1816667,-88.5516667,TN,Mar,0,2005
5319,1.87,Debris Burning,30.796,-84.51299999999999,GA,Feb,0,2002
5324,19.3,Arson,31.88301351,-81.88345182,GA,Mar,0,2011
5325,220.0,Debris Burning,36.7539,-96.7539,OK,Jan,0,2000
5330,4.02,Utilities,32.4413,-83.4684,GA,Feb,0,2001
5332,2.0,Arson,47.4693,-124.0485,WA,Jul,1,1996
5333,1.5,Debris Burning,31.826291,-86.276129,AL,Mar,0,2007
5337,1.0,Arson,33.716026,-87.554903,AL,Dec,0,2003
5341,2.3,Utilities,33.51666667,-111.62166670000002,AZ,Jun,0,1992
5342,4.0,Arson,31.15462523,-89.58736129,MS,Feb,0,1999
5351,3.0,Arson,35.41165,-84.823367,TN,Apr,0,2010
5360,1.48,Lightning,41.416,-73.671,NY,Apr,0,2012
5361,37.0,Utilities,44.9172,-120.4736,OR,Sep,1,2006
5364,54.0,Lightning,37.1383,-113.8211,UT,Jun,3,2005
5365,2.0,Debris Burning,33.082638,-86.191231,AL,Sep,0,2005
5370,1.0,Debris Burning,31.69591667,-95.9632,TX,Apr,0,2009
5371,20.0,Lightning,40.8216,-117.671,NV,Jul,0,1994
5374,30.0,Arson,30.7076104,-89.43085897,MS,Mar,0,2013
5377,1.9,Lightning,36.0333,-109.1507,AZ,Jul,0,1992
5389,0.61,Utilities,31.2247,-85.0753,GA,Feb,0,2002
5390,4.0,Utilities,33.807739,-117.441819,CA,Jul,0,2004
5392,17.0,Debris Burning,37.30078,-83.34203000000001,KY,Nov,0,2008
5399,7000.0,Lightning,45.48,-114.62166670000002,ID,Jul,93,2000
5408,72.0,Lightning,33.56833333,-109.045,NM,Jul,17,1997
5409,2229.0,Lightning,44.67278,-120.04139,OR,Jul,50,2014
5410,5.0,Lightning,40.6213,-117.2223,NV,Jul,2,2005
5411,4.0,Debris Burning,34.080294200000004,-89.54510738,MS,Feb,1,2015
5414,0.7,Arson,44.42042889,-73.71899641,NY,May,0,2007
5415,0.91,Arson,32.0806,-81.2676,GA,Aug,0,1997
5419,3.0,Utilities,39.85261491,-80.79109914,WV,Nov,0,1999
5429,10.0,Lightning,33.80833333,-85.67166667,AL,Jun,0,1994
5430,3.0,Arson,41.0832,-123.6845,CA,Aug,0,2001
5434,1.0,Utilities,48.1515,-119.33283,WA,Jun,0,2011
5443,75.0,Accidental,35.21805556,-91.28305556,AR,Mar,0,2010
5445,1.0,Debris Burning,38.072,-103.4355,CO,Mar,0,2013
5455,22.0,Lightning,42.36666667,-111.5716667,ID,Jul,6,2000
5456,2.0,Utilities,31.51242953,-90.18308991,MS,Mar,0,2013
5467,6.0,Accidental,30.1092,-82.8858,FL,Mar,0,2013
5470,2.25,Accidental,43.0991,-77.5737,NY,Nov,0,2015
5472,1.0,Arson,33.05426581,-89.36049440000001,MS,Dec,0,1999
5474,8.0,Debris Burning,37.49,-95.49,KS,Jan,0,2015
5476,1.0,Arson,33.59944647,-89.22971395,MS,Sep,0,1995
5483,5.0,Debris Burning,30.6317,-85.3962,FL,Mar,0,2015
5484,3.0,Lightning,39.92527778,-110.835,UT,Aug,3,2006
5487,1.0,Accidental,46.98,-95.3708,MN,Apr,0,2014
5489,64.0,Accidental,42.4166,-114.4675,ID,Aug,1,1995
5491,10.0,Arson,34.28503433,-88.55186248,MS,Mar,0,1993
5501,25.0,Utilities,39.3536,-119.7847,NV,Oct,1,2008
5507,473.0,Debris Burning,33.04440394,-90.16801945,MS,Sep,0,1998
5511,40.0,Debris Burning,42.65559,-97.8532,NE,Apr,0,2015
5512,2.0,Accidental,40.449917,-80.55647002,WV,Mar,0,1999
5516,1.0,Debris Burning,31.8408,-81.7132,GA,Jul,0,1996
5525,2.0,Utilities,34.2,-116.7783333,CA,Nov,0,1995
5527,1.0,Debris Burning,39.11,-96.87,KS,Mar,0,2015
5536,130.0,Debris Burning,32.81207,-89.68535,MS,Mar,0,1993
5543,5.0,Debris Burning,45.85947175,-93.96840269,MN,Feb,0,2015
5544,2.5,Debris Burning,41.3725,-77.11888889,PA,Apr,0,2005
5550,0.94,Accidental,32.6642,-83.6903,GA,Sep,0,1997
5551,6.0,Utilities,32.42116667,-94.62066667,TX,Sep,0,2011
5553,1.26,Debris Burning,32.35941283,-81.97288704,GA,Mar,0,2011
5555,1.2,Debris Burning,31.44218248,-83.98666472,GA,Feb,0,2011
5556,4.0,Debris Burning,31.41285936,-89.89330805,MS,Apr,0,1998
5558,2.0,Debris Burning,32.97592789,-88.84799576,MS,Sep,0,1995
5560,2.5,Debris Burning,29.6375,-82.0966,FL,Jun,0,2012
5571,0.8,Arson,47.8794,-94.8947,MN,Apr,0,2006
5573,1.5,Accidental,35.890017,-85.24126,TN,Mar,0,2009
5576,1.3,Accidental,47.8728,-94.9931,MN,Mar,0,2015
5579,7.0,Lightning,45.71666667,-104.705,MT,Jul,0,1994
5593,1.0,Lightning,38.03694444,-120.0169444,CA,Sep,0,1999
5594,4.18,Debris Burning,33.0068,-82.9692,GA,Nov,0,1996
5597,1.0,Arson,33.3501,-110.4673,AZ,Jun,0,1994
5598,3.0,Utilities,48.4011,-119.5089,WA,Jun,1,2006
5603,2.0,Accidental,45.6069,-97.4407,SD,Apr,0,2002
5608,3.2,Arson,35.98833333,-92.325,AR,Jan,0,1997
5609,22.0,Utilities,33.58604331,-88.97240704,MS,Nov,0,1999
5610,1.0,Debris Burning,37.3266757,-81.31807989,WV,Nov,0,1993
5614,8.0,Debris Burning,31.027545,-85.730855,AL,Feb,0,2009
5618,8.7,Debris Burning,31.50373941,-83.23751147,GA,Feb,0,2011
5627,2.0,Debris Burning,32.96894485,-89.76220544,MS,Aug,0,1997
5630,16.0,Debris Burning,47.29656191,-95.78215240000002,MN,Apr,0,2012
5634,1.0,Accidental,37.14985,-82.70061,KY,Nov,0,2011
5636,17.0,Debris Burning,34.87247333,-88.31451312,MS,Jan,0,2015
5657,7.7,Lightning,31.4979,-81.5753,GA,Aug,0,1993
5665,1.0,Accidental,33.49166667,-110.87,AZ,Jun,0,1993
5675,2.0,Utilities,31.2266,-94.70385,TX,Aug,0,2009
5678,1.0,Lightning,35.8417,-113.3008,AZ,Jun,0,1999
5680,7.0,Utilities,39.27526882,-77.83662966,WV,Nov,0,2001
5682,2.0,Arson,38.6875,-82.59583333,OH,Mar,0,2003
5686,16.4,Lightning,34.1334,-110.2957,AZ,Aug,1,1996
5692,30.0,Debris Burning,27.8668,-80.9995,FL,May,0,2010
5695,84.0,Arson,38.29916667,-93.915,MO,Mar,0,2014
5702,806.0,Lightning,32.36,-110.81333329999998,AZ,Jun,5,2000
5711,3.0,Lightning,37.52611111,-108.1038889,CO,Jul,0,1997
5713,1.5,Accidental,48.2689,-109.998,MT,Jul,1,2012
5716,32.0,Arson,31.0523,-81.639,GA,Jun,0,1993
5721,6.0,Arson,36.30416667,-78.4325,NC,Apr,0,2012
5732,5.0,Debris Burning,42.0636,-116.1331,ID,Jul,0,2005
5738,424.0,Arson,30.31,-89.97,LA,Mar,1,2008
5742,29.8,Arson,32.544256,-86.04421500000001,AL,Sep,0,2006
5748,1.04,Accidental,32.75361111,-82.26861111,GA,Nov,0,2013
