,fire_size,fire_cause,latitude,longitude,state,discovery_month,putout_time,year
384,1.0,Debris Burning,37.10551834,-82.8234024,KY,Dec,0,2013
385,470.0,Utilities,42.2017,-96.5558,NE,Mar,0,2010
389,8.71,Accidental,34.67888889,-85.30972222,GA,Apr,0,2014
393,1.0,Debris Burning,31.998438,-87.323307,AL,Mar,0,2008
395,60.0,Debris Burning,31.1773011,-88.51974019,MS,Jan,0,1994
396,4.9,Debris Burning,48.8655,-99.8528,ND,Apr,0,2010
399,8.57,Utilities,44.83029129999999,-88.05570118,WI,May,0,1996
401,32.4,Lightning,41.2352,-116.7362,NV,Jul,1,2001
407,15.0,Lightning,34.41000001,-95.91016668,OK,Jun,0,2009
419,1.0,Arson,39.936181,-122.09345,CA,Aug,0,2004
421,1.0,Arson,35.7239,-94.5942,OK,Nov,0,2008
424,656.0,Utilities,34.8,-102.24,TX,Jul,0,2011
439,15.0,Debris Burning,37.10174179,-83.29543304,KY,Apr,1,2013
440,2.0,Debris Burning,42.35957122,-74.0207546,NY,Apr,0,2007
441,3.0,Utilities,38.886764,-123.16392,CA,Oct,0,2009
445,1.0,Accidental,35.36848333,-77.94196666,NC,Mar,0,2010
448,1.01,Arson,31.6865,-81.7947,GA,Feb,0,1996
455,10.0,Accidental,37.21778,-87.73299,KY,Mar,1,2012
464,1.0,Arson,47.9783,-99.0225,ND,Apr,0,2007
470,1.0,Debris Burning,41.81416667,-123.35833329999998,CA,Jun,0,2005
474,0.6,Lightning,34.33805556,-117.7088889,CA,Jul,1,2011
479,0.55,Debris Burning,31.515,-81.3746,GA,Sep,0,1997
482,1.0,Lightning,35.06555556,-112.0052778,AZ,May,0,2001
484,4.0,Arson,31.111340500000004,-89.59378043,MS,Oct,0,1992
486,3.8,Lightning,34.383334999999995,-80.966667,SC,Jul,0,2011
489,2.45,Debris Burning,32.84417763,-84.40365152,GA,Apr,0,2011
494,1.68,Debris Burning,44.69583,-122.72389,OR,Aug,0,2014
501,2.2,Lightning,31.27108084,-81.46903512,GA,Jun,1,2011
504,0.75,Debris Burning,34.51570968,-83.35523917,GA,Apr,0,2012
507,9.0,Arson,33.798132,-87.29437,AL,Mar,0,2004
513,2.0,Debris Burning,30.726895000000003,-88.352533,AL,Sep,0,2006
516,1.0,Arson,31.121967,-88.23605400000001,AL,Jan,0,2006
524,1.0,Debris Burning,33.009374,-85.826621,AL,Mar,0,2006
525,29.0,Arson,35.0192,-96.6255,OK,Mar,1,2013
528,5.0,Debris Burning,38.79,-95.83,KS,Apr,0,2015
532,38.0,Arson,32.369469,-85.858073,AL,Apr,0,2006
538,1.0,Arson,47.8686,-95.0864,MN,Mar,0,2003
542,3.0,Arson,35.7242,-94.5592,OK,Nov,0,2012
545,1.0,Debris Burning,33.03691667,-83.31219444,GA,Oct,0,2014
547,3.0,Utilities,35.74901666,-81.03288333,NC,Mar,0,2010
548,34.0,Lightning,34.2471,-93.54496,AR,Jul,0,2011
552,5.0,Debris Burning,26.49373,-98.8915,TX,Aug,0,2003
553,1.65,Utilities,34.3445,-85.462,GA,Dec,0,1994
555,1.0,Debris Burning,31.6769881,-89.8169897,MS,Oct,0,1993
561,0.85,Debris Burning,32.0128,-83.6124,GA,Jan,0,1996
564,33.0,Arson,36.27722222,-82.135,TN,Sep,5,2005
565,8.0,Accidental,32.62693511,-89.99720688,MS,Jul,0,1994
566,10.0,Debris Burning,31.18938333,-95.61306667,TX,Apr,0,2011
576,60.0,Debris Burning,32.08419,-85.112963,AL,Mar,0,2004
587,1.5,Debris Burning,41.89322313,-74.11896046,NY,Mar,0,2006
589,12.1,Utilities,43.14277,-116.07345,ID,Jun,0,2013
595,25.0,Accidental,31.92045542,-110.96774840000002,AZ,Nov,1,1992
599,30.0,Debris Burning,39.15,-95.1,KS,Mar,0,2015
606,1.0,Arson,34.51807952,-88.48278853,MS,Nov,0,1999
608,15.0,Lightning,39.49527778,-121.12583329999998,CA,May,3,2013
612,0.75,Arson,44.760028000000005,-68.827528,ME,Feb,0,2006
613,65.0,Accidental,34.35624487,-89.74125852,MS,Feb,0,1995
614,4.0,Arson,41.0332,-123.6512,CA,Oct,0,1998
621,2.0,Debris Burning,30.6826327,-88.57432712,MS,Oct,0,2014
625,4.0,Arson,33.12555833,-84.19145,GA,Dec,0,2013
627,2.0,Lightning,47.25583,-107.15017,MT,May,0,2014
630,0.8,Accidental,45.5275,-106.9812,MT,Mar,0,1995
632,6.0,Accidental,38.4443,-83.2043,KY,Mar,0,2015
633,1600.0,Lightning,46.6617,-108.5317,MT,Jul,0,2006
