state,discovery_month,fire_cause,Temp_pre_30,Wind_pre_30,Hum_pre_30,putout_time,fire_size_bin,fire_size_bin_no
AL,Jun,Arson,25.45554187,1.482512315,65.53694581,0,Mini,3
UT,Aug,Lightning,28.10763889,4.530277778,76.47638889,0,Mini,3
FL,May,Lightning,20.99548585,2.536830015,82.34278959999999,0,Teacup,1
FL,Apr,Arson,15.3764596,2.808594115,65.26466916,0,Teacup,1
NY,Apr,Lightning,4.899322362,4.079079903,56.38441955,0,Teacup,1
WA,Jul,Arson,16.19107374,3.804010349,53.38802083,0,Teacup,1
CO,Jun,Lightning,14.83714286,3.885454545,45.48609272,0,Teacup,1
OH,Apr,Utilities,3.81928272,2.80988806,61.8319169,0,Medium,4
KY,Mar,Accidental,2.119013751,2.801660342,59.665524,0,Teacup,1
CA,Aug,Utilities,19.20110193,2.200826446,78.2040521,0,Teacup,1
AZ,Jun,Lightning,28.09246575,4.269178082,15.53972603,1,Teacup,1
PA,Sep,Accidental,21.51229656,1.812775735,72.21759259,0,Teacup,1
AR,Feb,Lightning,5.966260162999999,3.050914634,69.97842503,0,Teacup,1
MS,Apr,Debris Burning,13.29471488,2.2418637,70.65229485,0,Mini,3
AZ,Jul,Debris Burning,34.39831325,4.041545894,26.34624697,0,Mini,3
MN,Apr,Arson,0.375057951,3.694807603,68.48076032,6,Mini,3
GA,Nov,Debris Burning,14.62133333,3.0428,68.22068966,0,Toy,2
CA,Sep,Arson,10.838599,1.432614943,88.89281211,1,Medium,4
MO,Feb,Arson,-0.484188627,4.484005563,71.55605381,0,Teacup,1
FL,Apr,Lightning,19.85779468,3.243835616,71.92236741,0,Mini,3
ND,Apr,Arson,2.464804469,4.109078212,70.2150838,0,Teacup,1
IL,Apr,Accidental,5.356731662,4.837047354,67.66155989,0,Teacup,1
SD,Mar,Utilities,-6.5318681320000005,6.015164835,77.31933702,0,Teacup,1
SC,Apr,Arson,18.30314585,2.38884652,66.15368272,0,Teacup,1
MS,Mar,Arson,14.02694444,2.7148611110000003,70.97412481,0,Teacup,1
PA,Apr,Utilities,2.322164049,3.922687609,70.48312440000001,1,Teacup,1
SC,Jun,Utilities,24.36825776,1.628997613,64.12768496,0,Toy,2
SD,Jul,Lightning,20.63239437,4.542112676,70.02017291,0,Mini,3
KY,Nov,Debris Burning,15.03349901,2.345228628,73.59505062,0,Mini,3
NC,Mar,Arson,4.19667171,1.496822995,67.85099602,0,Teacup,1
AZ,Aug,Lightning,25.98342541,4.162430939,39.0,1,Teacup,1
GA,Mar,Debris Burning,11.1728972,2.547429907,69.23459347,0,Teacup,1
GA,Mar,Debris Burning,12.01694444,3.067222222,64.28654124,0,Teacup,1
GA,Dec,Debris Burning,3.129639519,2.156283422,72.24084507,0,Teacup,1
AR,Jul,Arson,27.11832947,1.530069606,64.89360709,0,Teacup,1
AZ,Jul,Utilities,32.11948791,3.297652582,28.3599374,0,Teacup,1
WI,Mar,Debris Burning,-6.548795181,2.737998146,63.73354958,0,Teacup,1
GA,Aug,Accidental,26.60892308,2.564675592,70.07549121,1,Toy,2
OK,Mar,Arson,6.712627669,3.258402971,69.27324478,0,Toy,2
ND,Sep,Arson,18.3130854,3.526170799,61.79189944,0,Teacup,1
OH,Mar,Debris Burning,2.019181586,2.5802216540000003,70.76445211,0,Toy,2
MS,Jul,Arson,26.79600592,1.925557207,73.45127436,0,Mini,3
MO,Nov,Utilities,11.24493641,2.743826579,70.14866901,0,Teacup,1
MS,Mar,Arson,10.27988423,3.605805515,60.2747093,0,Mini,3
AL,Nov,Arson,6.03153527,4.966435506,62.59714286,0,Medium,4
UT,Jul,Utilities,22.70625767,3.120295203,33.59901599,6,Large,5
WV,Apr,Debris Burning,4.839869281,2.515904139,69.57119205,0,Mini,3
MT,Jul,Lightning,19.00526316,2.129473684,51.56842105,141,XL,6
ND,Apr,Debris Burning,-4.620137931,6.269156292999999,76.61687414,0,Mini,3
FL,Mar,Arson,14.859429,2.029292169,83.29146919,0,Toy,2
GA,Jun,Debris Burning,27.6651719,3.3405082210000003,67.54242928,0,Teacup,1
GA,May,Debris Burning,19.11596452,3.269955654,67.37825595,0,Mini,3
UT,Jul,Lightning,21.8223176,3.226005747,37.61925287,1,Medium,4
WA,Jul,Utilities,18.49235474,3.758998145,48.12720157,0,Toy,2
TX,Jul,Debris Burning,27.53865859,2.417978575,63.1583605,0,Teacup,1
WV,Feb,Debris Burning,-2.067628866,2.943125,71.43432203,0,Teacup,1
MS,Dec,Arson,11.71024531,1.821067821,69.102526,0,Mini,3
UT,Jun,Lightning,15.39680556,4.635416667,71.05293276,2,Teacup,1
SC,Jul,Lightning,25.23868778,2.393431484,66.78805621,0,Toy,2
OH,Mar,Debris Burning,3.54001996,2.165517241,66.46273137,0,Mini,3
SC,Mar,Debris Burning,12.98306452,3.849142281,64.29039301,0,Teacup,1
PA,May,Arson,10.6844358,3.283657588,66.4490835,0,Teacup,1
GA,Oct,Arson,22.92444444,2.304027778,64.2605042,0,Teacup,1
GA,Sep,Utilities,25.14576659,2.315446224,75.72636816,0,Mini,3
ID,Aug,Lightning,21.8108484,3.251533457,39.01637044,6,Teacup,1
NE,Mar,Debris Burning,1.88496732,6.5,61.32065217,0,Toy,2
NV,Jul,Lightning,19.08206687,4.3193760260000005,21.08866995,2,Medium,4
KY,Mar,Accidental,-0.8737138259999999,3.041071429,66.36273702,0,Teacup,1
GA,Apr,Debris Burning,17.97612732,3.321750663,57.08991826,0,Teacup,1
SC,May,Utilities,20.08929406,1.993034128,68.67433538,0,Mini,3
OK,Aug,Arson,32.16787149,3.999732262,41.27309237,0,Teacup,1
