fire_id,discovery_month,Temp_pre_7,Wind_pre_7,fire_size_bin_no
6137,May,21.77647059,5.947058824,4
6151,Mar,15.41538462,2.117948718,4
6268,Jul,31.35978261,2.979347826,4
6300,May,17.62422998,3.946406571,4
6328,Oct,20.3511236,1.431460674,4
6365,Nov,11.38380282,3.426501767,4
6389,Aug,27.01421569,2.27254902,4
6626,Mar,11.68149606,2.49015748,4
6659,Apr,8.856287425,3.1652694610000003,4
6724,Nov,-1.367063492,2.399603175,4
6744,Mar,9.555882353,5.490686275,4
6803,Apr,18.84475806,3.1306451610000003,4
6815,Sep,14.71727642,1.821341463,4
6892,Jun,17.21549296,4.617370892,4
6970,Jun,25.55983773,2.471399594,4
7064,Aug,21.41883768,1.242084168,4
7187,Jun,12.74054054,5.002173913,4
7198,Sep,19.97420635,2.286706349,4
7212,Mar,11.30925926,4.0129629630000005,4
7224,Apr,3.722009569,2.705263158,4
7530,Jun,23.51156187,2.270121951,4
7574,May,23.49135802,2.752469136,4
7588,Apr,14.40555556,1.943162393,4
7641,Jun,17.184375,3.630625,4
7909,Mar,11.56741248,8.554300357999999,4
7920,Aug,29.21333333,3.907878788,4
7969,Aug,23.23367347,3.330569948,4
7988,Aug,25.85798817,2.278698225,4
8065,Jul,20.17025641,3.203645833,4
8079,Nov,14.3,2.4,4
8272,Jul,23.90419162,3.833532934,4
8297,Dec,9.344490644,4.183575884,4
8322,Oct,8.118721461,1.389954338,4
8358,Mar,11.015625,2.741884817,4
8398,Nov,14.12138365,1.859748428,4
8407,Sep,19.82080925,1.026011561,4
8573,Jul,16.55714286,3.44,4
8642,May,19.08928571,3.976388889,4
8728,Aug,20.98602794,4.085229541,4
8847,Feb,9.72173913,4.266666667,4
8886,Apr,-0.401762115,4.062995595,4
8903,Jun,21.05232558,5.2,4
9004,Mar,15.22804233,4.603703704,4
9022,Jul,14.84901186,2.748790323,4
9051,Mar,8.078470825,1.620120724,4
9113,Mar,11.11845238,3.202380952,4
9151,Mar,8.449056603999999,2.605660377,4
9165,Sep,16.20890052,1.671204188,4
9218,Jul,19.62721893,3.487272727,4
9229,May,15.15243902,3.358823529,4
9274,Feb,10.19161677,1.7532934130000002,4
9419,Aug,24.5,2.117857143,4
9527,Aug,32.51607143,3.45,4
9733,Apr,13.7195122,5.785365854,4
9789,Mar,5.597905759,4.382722513,4
9860,Aug,20.64285714,1.954761905,4
9929,Jun,29.89840637,4.009561753,4
9945,Jul,25.41235955,3.402824859,4
9951,Sep,27.8047619,3.889285714,4
9978,Sep,21.47619048,3.582142857,4
9991,Apr,9.22364532,3.090147783,4
10012,Jun,28.66882353,4.227058823999999,4
10033,Apr,1.779640719,3.180838323,4
10067,Nov,6.968148147999999,1.333085502,4
10306,Jan,9.214371257,1.662275449,4
10341,Aug,24.64107143,2.754761905,4
10418,Jul,23.56309524,3.08452381,4
10449,Sep,25.23611111,0.604563492,4
10460,Jul,28.79166667,2.017460317,4
10500,Nov,4.726190476,3.959722222,4
10507,Jul,21.9,1.716666667,4
10548,Jul,37.725,4.419047619,4
10598,Aug,26.99337349,3.313654618,4
10674,Jul,22.56171429,2.1902857140000003,4
10738,Jul,25.46140351,4.056140351,4
10739,Feb,6.524712644,3.4931034480000003,4
10760,Jul,27.26587302,2.961111111,4
10876,Aug,32.36647059,3.699404762,4
10878,May,22.40681363,1.713654618,4
11048,Jul,21.12163743,4.521176471,4
11095,Jun,22.18333333,3.395,4
11220,Feb,9.122,3.4028,4
11251,Jun,29.12269939,0.979141104,4
11318,Jun,18.95377778,2.535555556,4
11328,Sep,17.3251497,1.716167665,4
11463,Mar,6.229361702,2.069827586,4
11512,Jul,26.57627119,2.710169492,4
11545,Jun,34.76686391,2.766863905,4
11639,Feb,5.9387850470000005,3.352336449,4
11655,Apr,20.62790698,2.04244186,4
11880,Sep,13.57407407,2.524074074,4
11922,Aug,24.66190476,3.269047619,4
11990,Mar,7.513944222999999,4.226294821000001,4
12112,Apr,20.41065089,4.879881657,4
12164,Jun,26.244,2.929777778,4
12179,Mar,7.631790744,1.576861167,4
12257,Jul,30,5.1,4
12263,Mar,7.1125,5.547000000000001,4
12314,Apr,8.920159681,3.108582834,4
12345,Jul,25.40851064,4.953191489,4
12372,Sep,10.9,2.004910714,4
12410,Mar,12.8252809,2.585955056,4
12431,Jul,26.40679612,3.025728155,4
12468,Jun,17.94642857,3.15734127,4
12476,Mar,9.155913978,4.841935484,4
12484,Feb,-0.4779735679999999,3.795374449,4
12818,Apr,13.06116505,4.907281553,4
12904,Mar,6.2658730160000005,3.496428571,4
12924,Mar,19.82941176,1.649411765,4
12968,Jun,26.58628571,4.722857143,4
12982,Aug,20.87368421,0.951315789,4
12997,May,24.06116505,4.148058252,4
13056,Oct,22.96968504,1.456692913,4
13083,Jul,22.55102041,3.885714286,4
13116,Jun,15.90447761,2.318905473,4
13187,Apr,5.86743295,5.209195402,4
13211,May,22.71679389,2.754198473,4
13225,Mar,8.609126984,5.454960317,4
13263,Apr,4.378619154,5.448552339,4
13314,Jul,20.47861272,1.905780347,4
13335,Apr,8.728174603,2.819681909,4
13357,Jun,26.3725,3.245,4
13365,Feb,15.88928571,4.401587302,4
13498,May,24.88478261,4.382608696,4
13515,Jul,20.98757764,3.892546584,4
13576,Apr,15.27321429,4.150595238,4
13588,Mar,9.209643606,3.62394958,4
13607,Feb,12.06046512,3.790232558,4
13633,Aug,22.15568862,0.954491018,4
13727,Sep,26.85238095,1.902380952,4
13755,Aug,21.63580247,1.140740741,4
13776,Feb,6.58742515,1.941317365,4
13819,Feb,3.213333333,3.277777778,4
13833,Apr,11.736,4.5238,4
13940,Jul,23.54285714,3.210119048,4
14015,Jun,26.34920635,3.577380952,4
14051,Mar,6.006472492,3.789320388,4
14128,Jun,23.79076923,3.21875,4
14137,Nov,15.08333333,2.764814815,4
14239,Apr,12.72531646,2.007594937,4
14307,Nov,11.64876033,3.3198347110000004,4
14356,May,24.00059524,2.395833333,4
14376,Feb,8.940437158,3.095081967,4
14420,Nov,13.0588785,2.8813084110000005,4
14505,Jun,18.90892857,5.883928571,4
14542,Mar,13.76739563,3.716334661,4
14668,Aug,25.82142857,2.326785714,4
14688,Jul,23.11398964,2.918134715,4
14694,Nov,13.11445783,2.536746988,4
14696,Jun,19.20272109,4.506802721000001,4
14792,Jul,28.2721519,3.67278481,4
14808,Jul,22.52732558,3.195930233,4
14833,Aug,22.37583893,3.500990099,4
