state,discovery_month,fire_cause,Temp_pre_7,Wind_pre_7,Hum_pre_7,putout_time,fire_size_bin,fire_size_bin_no
OK,Jun,Lightning,28.31707317,2.139837398,70.23870968,0,Mini,3
OK,Nov,Arson,5.5975609760000005,1.993902439,55.96,0,Teacup,1
TX,Jul,Utilities,28.74404762,4.243055556,38.73015873,0,Medium,4
KY,Apr,Debris Burning,4.8111332010000005,1.803386454,74.33755274,1,Mini,3
NY,Apr,Debris Burning,6.879225352000001,3.801056338,68.08243728,0,Teacup,1
CA,Oct,Utilities,12.07871287,1.088613861,58.14285714,0,Teacup,1
NC,Mar,Accidental,12.02472325,2.699630996,59.13475177,0,Teacup,1
GA,Feb,Arson,11.35375,4.37375,54.125,0,Teacup,1
ND,Apr,Arson,-1.735059761,5.2156,57.604,0,Teacup,1
CA,Jun,Debris Burning,11.83786982,3.0112426039999995,59.31360947,0,Teacup,1
GA,Sep,Debris Burning,26.67021277,2.379787234,74.02150538,0,Teacup,1
AZ,May,Lightning,28.9,7.2,18.0,0,Teacup,1
MS,Oct,Arson,19.49230769,3.523668639,68.72189349,0,Teacup,1
SC,Jul,Lightning,28.0,2.020240964,53.47710843,0,Teacup,1
GA,Apr,Debris Burning,11.62828283,2.028888889,82.52040816,0,Teacup,1
OR,Aug,Debris Burning,21.63817097,3.539960239,58.33466135,0,Teacup,1
GA,Jun,Lightning,25.83266932,2.303984064,67.91341991,1,Teacup,1
GA,Apr,Debris Burning,16.59722222,2.989880952,44.06352941,0,Teacup,1
AL,Mar,Arson,10.89940828,3.1775147930000003,52.16969697,0,Toy,2
AL,Sep,Debris Burning,23.77142857,3.198148148,73.60377358,0,Teacup,1
AL,Mar,Debris Burning,16.75151515,2.502626263,65.64537445,0,Teacup,1
OK,Mar,Arson,4.163021869,4.177534791,65.68058968,1,Mini,3
KS,Apr,Debris Burning,14.65302326,5.603271027999999,63.60747664,0,Toy,2
AL,Apr,Arson,21.89814815,2.222222222,50.79439252,0,Mini,3
MN,Mar,Arson,4.470167064,3.684725537,76.22716049,0,Teacup,1
OK,Nov,Arson,10.45546559,2.173481781,57.35421166,0,Teacup,1
GA,Oct,Debris Burning,14.67857143,0.394642857,67.88599349,0,Teacup,1
NC,Mar,Utilities,2.959760956,2.915568862,56.34773663,0,Teacup,1
TX,Aug,Debris Burning,31.30769231,6.678106509,59.52380952,0,Toy,2
GA,Dec,Utilities,7.716875,3.429375,57.5375,0,Teacup,1
MS,Oct,Debris Burning,21.08023952,1.389820359,58.68862275,0,Teacup,1
TN,Sep,Arson,20.64361702,0.89893617,71.85549133,5,Mini,3
MS,Jul,Accidental,25.78372093,2.37627907,80.25870647,0,Toy,2
TX,Apr,Debris Burning,20.59081836,3.865868263,59.01234568,0,Mini,3
AL,Mar,Debris Burning,15.81162791,3.331976744,42.61046512,0,Medium,4
